單詞,TF,DF
銀行,21207,6669
金融,16286,6859
表示,12740,6844
市場,11560,4515
投資,10604,3639
台灣,9881,3399
經濟,9740,3331
公司,8936,3416
億元,7264,2580
美元,7005,2311
美國,6835,2720
中國,6464,2584
今年,6334,3375
指數,6205,2016
大陸,5827,1963
企業,5761,2217
今天,5653,3692
指出,5608,3863
成長,5209,2263
全球,5171,2528
國際,5149,2743
董事,5098,2024
可能,4900,2792
金管,4841,1636
人民,4743,1339
服務,4609,1848
去年,4483,2322
目前,4460,3021
交易,4394,2045
利率,4370,1552
基金,4296,1533
政府,4135,2045
台股,4093,1188
英國,4022,1098
發展,3991,2068
資金,3887,1984
政策,3787,1946
央行,3766,1515
未來,3646,2361
產業,3618,1570
影響,3614,2259
兆豐,3600,830
持續,3479,2368
管理,3365,1993
台幣,3348,2009
包括,3297,2449
股市,3279,1629
業務,3269,1588
電子,3250,1369
認為,3230,2161
科技,3199,1286
提供,3108,1836
事長,3107,1665
日本,3051,1218
相關,3015,1985
以及,3015,2214
客戶,2980,1085
可以,2946,1787
金控,2877,1134
分行,2867,875
消費,2848,1265
國家,2848,1638
主要,2847,2188
國內,2821,1745
表現,2817,1662
支付,2804,745
沒有,2737,1781
集團,2729,1274
機構,2710,1594
風險,2664,1500
業者,2645,1289
獲利,2628,1201
報導,2611,1596
金額,2608,1492
合作,2588,1306
外資,2582,1067
上漲,2582,1229
經理,2544,1695
成交,2537,1175
財政,2536,1114
證券,2508,1126
進行,2505,1785
因此,2474,1888
第一,2473,1677
資產,2460,1267
下跌,2457,1207
預期,2451,1577
鴻海,2389,559
問題,2387,1480
貨幣,2376,1144
總統,2375,1005
透過,2361,1589
不過,2360,1868
增加,2356,1545
民眾,2349,1118
夏普,2321,197
超過,2305,1660
保險,2296,801
個月,2286,1496
成為,2221,1622
萬元,2219,1048
以來,2205,1598
顯示,2174,1546
中信,2140,586
行動,2118,892
公布,2111,1606
希望,2083,1440
因為,2083,1542
今日,2083,1000
部分,2077,1521
富邦,2067,710
信用,2039,842
日圓,2038,594
豐銀,2036,690
調查,2036,969
台北,2031,1296
分析,2026,1519
其中,2005,1645
委員,1991,1219
根據,1974,1620
商品,1969,981
國泰,1963,775
亞洲,1960,1062
海外,1957,977
需求,1938,1308
時間,1938,1443
主管,1927,1248
出現,1922,1377
政部,1914,807
國大,1914,1211
同時,1914,1562
對於,1912,1423
行政,1910,954
是否,1900,1358
工作,1893,986
報告,1891,1068
脫歐,1889,659
升息,1887,826
一個,1887,1307
機會,1872,1311
由於,1851,1531
其他,1837,1474
創新,1830,937
加上,1822,1427
最大,1818,1370
社會,1768,870
維持,1759,1216
網路,1733,812
中心,1731,996
匯率,1723,759
方面,1717,1249
推出,1716,1030
計畫,1713,1012
歐洲,1713,882
貸款,1701,706
使用,1693,931
產品,1683,888
經營,1682,951
已經,1675,1268
股價,1662,913
推動,1658,1067
最高,1657,1220
行的,1633,1270
宣布,1628,1293
就是,1620,1193
要求,1617,1064
股票,1608,829
會議,1608,1044
重要,1605,1223
過去,1600,1259
數位,1592,624
出口,1582,668
數據,1574,985
開始,1562,1201
中央,1552,1251
針對,1551,1209
資料,1547,866
技術,1535,782
積極,1533,1184
活動,1523,819
半年,1520,892
發行,1518,620
信託,1509,565
資本,1500,861
台新,1494,468
目標,1488,1034
資訊,1483,923
債券,1476,526
以上,1473,1109
股東,1464,687
平均,1460,845
世界,1458,919
年來,1436,1118
不會,1430,1058
員工,1428,596
除了,1426,1186
香港,1425,664
雖然,1424,1190
決定,1422,1005
行業,1416,882
事會,1415,884
我們,1409,678
環境,1398,962
一步,1398,1144
開發,1395,787
強調,1389,1156
漲幅,1382,746
此外,1381,1231
至於,1380,1163
提出,1378,943
現金,1377,712
紐約,1376,622
申請,1372,687
現在,1368,1038
歐盟,1368,364
協助,1367,887
年的,1365,1015
完成,1364,943
統計,1363,1035
結果,1363,961
規模,1360,951
人壽,1348,421
法人,1347,888
期貨,1347,599
穩定,1345,975
情況,1337,1066
川普,1335,320
擴大,1332,1002
年底,1332,931
建議,1326,893
貿易,1324,673
研究,1324,877
豐金,1323,541
類股,1321,748
自己,1315,830
業的,1314,977
如果,1314,965
方式,1311,1003
整體,1302,1003
平台,1302,691
必須,1294,974
人員,1288,715
月底,1282,895
跌幅,1281,703
大幅,1281,1030
相對,1278,970
成立,1268,831
價格,1267,844
執行,1261,905
盤中,1258,705
支持,1257,840
長期,1251,906
近期,1249,991
需要,1240,946
減少,1239,830
準備,1236,895
受到,1236,1031
策略,1226,878
預估,1225,832
關係,1217,758
手機,1217,537
信金,1217,406
代表,1214,911
措施,1211,810
也是,1208,1044
更多,1203,977
國民,1199,501
這些,1198,922
人才,1195,472
媒體,1193,767
中華,1193,590
的資,1188,914
元的,1188,942
提升,1187,878
的金,1180,943
大的,1180,1002
景氣,1179,674
造成,1177,926
新興,1174,549
國銀,1173,557
元大,1168,516
玉山,1167,309
系統,1164,667
大學,1160,577
開放,1153,692
的經,1150,873
融資,1147,636
相當,1146,977
人士,1144,783
專業,1142,686
地區,1142,750
外匯,1141,598
無法,1138,871
官員,1133,709
壓力,1133,806
主委,1130,687
在台,1122,811
帶動,1118,868
公投,1116,523
連續,1115,841
印度,1112,274
銷售,1109,646
上市,1109,652
擔任,1107,698
另外,1106,1004
選擇,1105,758
帳戶,1100,500
營運,1097,738
事業,1095,636
的是,1093,950
新高,1093,727
美股,1092,655
獲得,1092,804
說明,1091,824
進入,1089,840
預計,1088,835
收購,1083,348
觀察,1082,861
壽險,1081,374
提高,1080,815
趨勢,1079,824
會主,1076,805
面臨,1074,868
可望,1070,794
來的,1066,919
導致,1065,862
國人,1065,767
期間,1064,816
競爭,1062,730
許多,1061,820
收盤,1060,751
存款,1059,515
智慧,1055,496
個人,1055,719
財務,1053,711
安全,1052,613
規定,1047,693
法院,1046,628
分別,1046,857
取得,1042,730
不是,1037,792
商業,1035,723
甚至,1031,870
特別,1030,773
共同,1030,774
波動,1029,705
開盤,1028,623
震盪,1026,712
就業,1025,536
了解,1024,821
的人,1023,737
一度,1023,713
洗錢,1022,384
高達,1021,815
能力,1020,729
規劃,1009,702
機關,1008,668
參與,1007,717
舉行,1001,881
總裁,1001,687
調整,1000,700
衝擊,997,763
民黨,993,323
政治,990,607
因素,989,769
召開,989,772
處理,985,644
生產,982,599
成本,982,708
還有,981,837
通過,980,696
都是,978,812
大漲,978,569
辦理,976,645
第二,974,783
昨天,971,687
記者,970,748
走勢,968,681
製造,968,554
蘋果,967,394
旗下,967,730
收益,966,468
接受,959,728
基本,958,728
不同,955,722
降息,952,441
場的,952,768
工業,945,652
繼續,940,748
公開,940,546
只要,939,730
責任,937,512
油價,935,539
貶值,934,511
作收,934,326
他們,932,637
確定,930,745
第三,928,679
這個,927,692
因應,919,737
生活,916,559
衰退,914,464
投信,914,454
最新,907,776
國的,907,645
領域,906,599
所有,900,714
應該,900,694
副總,896,684
發生,895,672
的投,894,662
明顯,894,754
舉辦,892,663
優惠,891,425
日前,890,745
方案,883,542
反彈,883,599
改革,882,505
也有,882,765
關注,881,759
最後,881,697
險業,878,375
應用,878,445
北市,869,404
營收,867,433
收在,865,446
機制,864,555
兩岸,863,313
來到,860,509
不僅,859,736
改善,858,602
個股,858,462
來看,858,732
品牌,856,367
三大,856,665
動支,854,245
明年,853,540
發現,850,658
收入,850,484
價值,848,573
一銀,848,329
中小,846,457
為了,844,712
布局,844,588
稅後,842,287
短期,837,634
如何,836,659
基礎,836,621
內容,836,672
之後,829,722
水準,828,654
退休,827,306
來最,827,590
降低,826,677
下滑,826,592
寬鬆,825,541
加入,824,549
這是,817,698
正式,817,708
團隊,817,467
歐元,815,465
還是,814,665
永豐,814,301
不動,811,433
教育,810,442
達到,809,669
最低,809,651
下午,808,654
預測,806,492
現貨,805,325
放款,803,375
一年,802,634
隨著,801,702
狀況,801,635
為主,800,658
年以,800,642
的新,799,701
也不,797,687
新金,791,220
再度,791,667
之一,791,703
組織,790,516
股漲,789,296
吸引,789,632
一定,789,621
上午,788,652
歷史,787,597
雙方,786,446
外界,785,630
營業,782,449
尤其,782,688
升值,782,445
解決,781,556
同期,780,436
經驗,777,597
關鍵,773,608
年度,770,529
出的,770,651
股今,769,523
直接,769,571
例如,768,627
他說,768,612
當地,767,480
新的,767,617
幣匯,763,395
實施,763,523
券商,763,303
的一,762,663
有機,759,610
上周,759,485
負責,757,584
立法,757,525
信心,757,597
年同,756,403
人的,755,623
的國,754,615
階段,752,565
事件,752,531
不能,750,572
上的,747,668
挑戰,744,578
每股,742,433
成功,742,576
監督,740,664
指標,740,537
學生,739,292
擁有,738,591
英鎊,737,298
討論,736,567
發布,735,628
年第,735,516
回饋,734,246
整合,733,450
消息,732,546
大型,731,567
動產,731,373
價差,730,237
是一,728,606
制度,727,456
多元,725,505
展望,724,557
作為,724,591
有一,721,612
航空,720,207
要的,719,617
條件,719,533
行總,718,533
幅度,716,545
股權,714,419
線上,714,396
相較,714,545
會有,714,609
空間,713,572
全面,713,583
持有,712,504
則是,711,600
帶來,710,592
紀錄,709,514
模式,709,487
非常,708,575
比較,708,531
電信,706,300
行情,704,461
也將,704,605
創業,703,316
年前,702,565
一次,702,577
將在,700,621
包含,700,601
操作,699,506
單位,699,524
危機,699,484
呈現,698,556
行長,696,508
很多,693,539
公股,693,325
面對,691,567
這次,690,538
也會,690,600
房貸,689,226
財報,687,420
當時,687,518
的機,686,583
所以,686,560
族群,685,457
截至,685,581
華南,684,316
能源,684,387
的重,684,594
倫敦,684,378
人力,684,377
建立,682,509
每年,681,529
年增,681,421
一般,681,550
專案,679,404
管機,678,495
通膨,677,323
理人,676,502
大選,676,419
法規,674,459
百分,671,414
採取,669,524
國外,668,503
的成,667,568
新聞,667,481
損失,666,418
引發,666,590
立委,663,392
有限,663,520
併購,663,297
汽車,659,350
近年,658,567
有關,657,553
者會,656,522
評估,655,484
強化,654,487
交所,654,358
機器,653,236
實際,653,571
內部,653,485
的政,652,481
只有,652,567
轉型,651,389
理財,651,306
地產,650,353
來自,650,539
薪資,649,290
功能,649,426
部門,648,470
買超,647,265
議題,647,488
原因,645,556
才能,644,527
後續,644,510
資源,642,487
聯合,640,452
累計,640,423
彰銀,639,163
有利,637,501
標準,636,477
陸續,635,569
昨日,635,438
持股,635,344
的大,633,560
利用,632,503
鼓勵,631,470
創下,627,520
的公,626,525
上海,626,339
傳統,625,443
供應,624,412
投入,623,464
運用,622,461
好的,622,524
不斷,622,496
行為,619,473
盈餘,618,316
的方,617,523
純益,616,211
的主,616,539
啟動,615,499
部長,614,445
財富,614,325
各國,614,467
終場,612,445
多數,612,515
之前,612,554
主席,612,448
至今,611,530
房市,611,242
設計,610,419
發表,609,495
注意,609,513
不到,609,529
險公,607,286
也可,606,539
的銀,605,471
修正,605,423
高的,603,535
聯邦,603,393
的影,603,503
時代,603,450
仍有,603,540
的時,602,522
來台,602,348
不少,602,526
林全,601,234
台指,601,214
此次,599,470
有效,599,491
加強,599,449
英文,598,317
建設,598,404
信銀,598,220
比重,597,408
努力,597,481
重大,595,497
出席,595,499
看好,594,439
新光,593,219
原本,593,513
結合,592,432
的情,592,524
權益,592,436
房地,592,332
債務,592,295
結構,591,449
符合,591,502
達成,590,456
快速,590,496
改變,589,469
什麼,589,430
重挫,588,430
避免,586,504
購買,586,431
契約,585,319
陸股,583,298
突破,583,488
限制,581,423
自由,581,336
期的,581,507
只是,581,504
勞動,581,298
重點,580,490
大關,580,420
來說,580,489
嚴重,578,468
設立,577,400
區域,577,378
金的,576,457
醫療,576,323
本周,576,390
這項,575,450
定的,570,495
月的,568,466
勞工,568,234
動能,568,453
公告,568,459
優勢,568,453
而言,567,472
保單,565,179
股跌,564,239
有的,564,488
日起,564,439
息的,564,420
土地,563,318
小組,562,278
並不,562,505
要是,560,499
生技,560,268
作業,560,400
有助,559,496
花旗,558,217
支出,558,376
方向,557,457
加碼,557,394
儘管,557,504
主因,557,489
協議,556,315
長的,555,492
配合,555,460
幣兌,555,301
理事,554,413
中的,554,480
的最,553,504
樂陞,553,138
會的,553,473
印尼,552,196
是在,551,496
的中,550,474
創造,549,437
的發,548,454
考量,547,474
對外,547,415
大家,547,396
聯網,545,277
新政,545,365
國總,544,392
法律,543,358
南韓,543,263
低於,543,426
但是,542,460
會今,541,477
首度,540,457
受訪,540,334
以下,540,458
對台,537,423
將於,537,485
另一,537,488
避險,536,326
院長,535,426
都有,535,494
左右,535,475
標的,534,401
手續,534,266
過程,533,431
前的,533,482
值得,533,480
後的,532,465
局長,532,398
公債,532,238
任何,532,443
年期,531,316
亞太,531,321
擔心,530,448
具有,529,456
同意,528,415
黃金,527,237
考慮,527,428
打造,527,391
專家,526,374
保證,526,312
通路,524,313
工具,524,401
金會,523,250
支撐,523,424
調降,522,345
加權,521,464
餘額,520,254
監理,520,274
年輕,520,321
黨產,519,106
公會,519,258
人數,519,325
獨立,518,310
數上,516,296
高點,515,410
機率,515,390
全國,515,350
將會,514,416
報酬,514,325
保護,513,375
一些,513,418
行今,512,464
綜合,512,418
下降,512,363
華銀,511,260
即將,511,468
廠商,510,298
便利,510,353
高雄,509,257
彭博,509,419
刺激,509,372
公益,509,170
納入,508,335
大跌,508,354
大盤,508,364
保障,508,322
聲明,507,325
業績,507,363
在國,507,446
透露,506,443
股的,506,413
網站,505,382
決策,505,366
就會,505,426
保費,505,214
一家,505,398
月金,504,159
多的,504,459
短線,503,340
最佳,503,291
元兌,502,288
重新,501,407
最近,501,429
家庭,501,335
至少,500,425
文化,500,303
費用,499,322
行銷,499,313
決議,499,367
德國,499,328
已有,499,455
之間,499,371
權值,498,352
上升,498,382
年金,497,326
保守,497,343
的行,496,428
的台,496,420
溝通,496,335
的關,495,429
態度,495,428
中間,495,260
提款,494,209
性的,494,439
反映,493,416
長林,492,425
邀請,492,395
新低,492,365
人口,492,280
商務,490,288
道瓊,489,362
一直,489,424
我國,488,269
市今,488,461
小時,488,348
變化,487,394
參加,487,377
匯市,486,356
兆元,486,293
顧問,485,362
大量,485,389
南亞,485,277
務的,485,419
商銀,484,310
逐漸,482,415
是台,482,407
強勢,482,366
額度,481,304
結算,481,256
為台,481,420
比例,481,325
國公,481,356
刷卡,481,198
行在,480,404
能夠,480,389
工程,480,270
不足,480,394
布的,479,432
受惠,479,390
高於,478,386
聯貸,478,177
掌握,478,404
股指,477,350
排名,477,272
境外,477,233
正在,476,416
早盤,475,328
旅遊,475,248
比率,474,316
使得,474,421
回應,473,380
債權,473,221
行庫,472,236
月電,472,129
在美,472,391
泰國,471,187
地方,471,332
協商,471,282
資的,470,391
選人,469,303
的不,469,416
展開,468,418
設備,467,293
漲逾,467,236
年全,466,391
不可,466,404
的風,465,387
的產,465,365
據點,465,305
授信,465,218
虧損,463,262
研發,463,270
會在,463,419
內外,463,385
之外,462,415
興航,461,76
購物,459,232
點或,458,150
的股,458,364
月以,458,387
會員,458,251
成員,458,311
並未,458,403
投顧,457,296
官方,457,333
在大,457,366
低點,457,357
的事,456,377
合計,456,364
全年,456,326
部位,455,315
自動,455,284
流動,455,321
有人,455,353
意願,455,367
累積,454,312
當選,454,297
幾乎,454,415
北京,454,266
務業,454,260
賣超,453,207
淨值,453,226
權證,453,87
新創,453,178
證交,452,246
回升,452,364
所得,451,253
完全,451,380
事務,450,313
臺灣,449,156
率的,449,377
意見,449,354
家的,449,392
股利,448,210
借貸,447,220
的信,446,355
涉及,446,346
法國,446,287
不得,446,318
百貨,445,206
都會,444,389
訊息,444,372
而且,444,372
會計,444,246
萬人,443,278
兩年,443,381
這樣,442,366
女性,442,140
即可,442,355
降至,440,360
落實,440,356
普的,440,208
對美,440,338
化的,440,389
力的,440,387
高層,439,328
領導,439,313
程序,439,336
目的,439,393
與國,438,381
或是,438,379
兩大,438,373
會上,437,381
整理,437,326
電腦,436,290
重視,436,352
日銀,436,143
天表,435,421
