,id,title,content_y,cluster
107,1451969842750_PTT02R,[其他] 105年01月04日信用交易統計,"105年01月04日信用交易統計 項目 買進 賣出 現金(券)償還 前日餘額 今日餘額 融資(交易單位) 303,680 280,492 12,893 9,229,236 9,239,531 融券(交易單位) 45,227 38,829 1,264 543,096 535,434 融資金額(仟元) 5,228,796 4,561,943 198,826 145,719,670 146,187,697 資增 4.68 億 券減 7,662 張 -- ",9
176,1452004638286_PTT02R,[其他] 105年01月05日信用交易統計,"105年01月05日信用交易統計 項目 買進 賣出 現金(券)償還 前日餘額 今日餘額 融資(交易單位) 251,719 254,886 9,868 9,252,632 9,239,597 融券(交易單位) 42,749 41,568 1,305 535,434 532,948 融資金額(仟元) 4,276,839 4,544,132 154,854 146,277,108 145,854,961 資減 4.22 億 券減 2,486 張 -- ",9
237,1452084265658_PTT02R,[其他] 105年01月06日信用交易統計,"105年01月06日信用交易統計 項目 買進 賣出 現金(券)償還 前日餘額 今日餘額 融資(交易單位) 281,197 311,195 8,228 9,239,582 9,201,355 融券(交易單位) 48,873 43,776 1,942 532,948 525,909 融資金額(仟元) 5,662,527 6,919,043 266,183 145,854,892 144,332,193 資減 15.22 億 券減 7,039 張 -- ",9
335,1452170657115_PTT02R,[其他] 105年01月07日信用交易統計,"105年01月07日信用交易統計 項目 買進 賣出 現金(券)償還 前日餘額 今日餘額 融資(交易單位) 381,413 438,246 13,339 9,201,352 9,131,180 融券(交易單位) 65,754 60,518 2,002 525,909 518,671 融資金額(仟元) 7,161,539 8,636,635 466,323 144,331,318 142,389,899 資減 19.41 億 券減 7,238 張 -- ",9
406,1452257106583_PTT02R,[其他] 105年01月08日信用交易統計,"105年01月08日信用交易統計 項目 買進 賣出 現金(券)償還 前日餘額 今日餘額 融資(交易單位) 279,420 260,897 13,576 9,131,180 9,136,127 融券(交易單位) 44,025 43,320 746 518,671 517,220 融資金額(仟元) 4,936,547 5,331,827 340,355 142,387,338 141,651,703 資減 7.35 億 券減 1,451 張 -- ",9
536,1452516260325_PTT02R,[其他] 105年01月11日信用交易統計,"105年01月11日信用交易統計 項目 買進 賣出 現金(券)償還 前日餘額 今日餘額 融資(交易單位) 285,609 250,451 10,943 9,136,122 9,160,337 融券(交易單位) 43,113 45,687 1,215 517,220 518,579 融資金額(仟元) 4,622,337 4,617,045 211,732 141,651,041 141,444,601 資減 2.06 億 券增 1,359 張 -- ",9
592,1452602478141_PTT02R,[其他] 105年01月12日信用交易統計,"105年01月12日信用交易統計 項目 買進 賣出 現金(券)償還 前日餘額 今日餘額 融資(交易單位) 253,185 324,484 9,749 9,160,335 9,079,286 融券(交易單位) 41,953 46,703 1,063 518,579 522,266 融資金額(仟元) 4,796,412 6,518,009 294,783 141,442,653 139,426,273 資減 20.16 億 券增 3,687 張 -- ",9
643,1452689486853_PTT02R,[其他] 105年01月13日信用交易統計,"105年01月13日信用交易統計 項目 買進 賣出 現金(券)償還 前日餘額 今日餘額 融資(交易單位) 238,313 232,443 7,561 9,079,282 9,077,591 融券(交易單位) 41,912 45,842 4,079 522,266 522,117 融資金額(仟元) 4,059,839 4,398,248 214,977 139,423,784 138,870,398 資減 5.53 億 券減 149 張 -- ",9
701,1452775712063_PTT02R,[其他] 105年01月14日信用交易統計,"105年01月14日信用交易統計 項目 買進 賣出 現金(券)償還 前日餘額 今日餘額 融資(交易單位) 228,380 272,510 16,612 9,077,588 9,016,846 融券(交易單位) 51,898 47,081 947 522,116 516,353 融資金額(仟元) 3,866,945 4,854,746 333,068 138,869,650 137,548,781 資減 13.20 億 券減 5,763 張 -- ",9
752,1452861834725_PTT02R,[其他] 105年01月15日信用交易統計,"105年01月15日信用交易統計 項目 買進 賣出 現金(券)償還 前日餘額 今日餘額 融資(交易單位) 254,811 234,328 11,913 9,016,846 9,025,416 融券(交易單位) 39,713 42,260 2,289 516,351 516,609 融資金額(仟元) 4,287,728 4,773,002 281,422 137,547,980 136,781,284 資減 7.66 億 券增 258 張 -- ",9
