,id,title,content,cluster
893,1453187329025_PTT02R,[其他] 105年01月19日三大法人買賣金額統計表,http://www.twse.com.tw/ch/trading/fund/BFI82U/BFI82U.php 105年01月19日三大法人買賣金額統計表 單位名稱 買進金額(億元) 賣出金額(億元) 買賣差額(億元) 自營商(自行買賣) 15.86 8.07 +7.79 自營商(避險) 61.55 52.36 +9.19 投 信 14.23 14.63 -0.40 外資及陸資 150.72 202.55 -51.83 =========================================================== 合 計 242.36 277.62 -35.25 法人成交比重35.40% -- 紅包行情變白包行情 法說會變成法會 阿彌陀佛～ -- ,5
934,1453274355721_PTT02R,[其他] 105年01月20日三大法人買賣金額統計表,http://www.twse.com.tw/ch/trading/fund/BFI82U/BFI82U.php 105年01月20日三大法人買賣金額統計表 單位名稱 買進金額(億元) 賣出金額(億元) 買賣差額(億元) 自營商(自行買賣) 16.78 14.85 +1.93 自營商(避險) 47.15 82.79 -35.64 投 信 14.30 14.10 +0.20 外資及陸資 217.68 297.44 -79.76 =========================================================== 合 計 295.92 409.18 -113.26 法人成交比重39.94% -- 中天，不是電視台 (4128，生技製藥廠) 大塚，不是製藥廠 (3570，3D列印軟體) 森田，不是藥粧店 (8410，IMR膜內漾印機殼) 天宇，不是布袋戲 (8171，手機電池) 帝寶，不是賣豪宅 (6605，車燈) -- ,5
1001,1453361055111_PTT02R,[其他] 105年01月21日三大法人買賣金額統計表,http://www.twse.com.tw/ch/trading/fund/BFI82U/BFI82U.php 105年01月21日三大法人買賣金額統計表 單位名稱 買進金額(億元) 賣出金額(億元) 買賣差額(億元) 自營商(自行買賣) 11.55 12.01 -0.46 自營商(避險) 47.68 58.17 -10.49 投 信 14.72 10.92 +3.80 外資及陸資 205.57 228.90 -23.33 =========================================================== 合 計 279.53 310.00 -30.47 法人成交比重40.49% -- 一頁書：世事如棋，乾坤莫測，笑盡英雄啊～～～ 一夜輸：股市如棋，漲跌莫測，坑盡散戶啊～～～ -- ,5
1051,1453446960696_PTT02R,[其他] 105年01月22日三大法人買賣金額統計表,http://www.twse.com.tw/ch/trading/fund/BFI82U/BFI82U.php 105年01月22日三大法人買賣金額統計表 單位名稱 買進金額(億元) 賣出金額(億元) 買賣差額(億元) 自營商(自行買賣) 10.43 11.74 -1.31 自營商(避險) 41.47 62.58 -21.12 投 信 8.62 10.58 -1.96 外資及陸資 224.44 207.67 +16.77 =========================================================== 合 計 284.96 292.57 -7.61 法人成交比重41.88% -- 四大基金：勞保、勞退、退撫、郵儲 四大雞精：白蘭氏、統一、桂格、華陀 -- ,5
1138,1453706111088_PTT02R,[其他] 105年01月25日三大法人買賣金額統計表,http://www.twse.com.tw/ch/trading/fund/BFI82U/BFI82U.php 105年01月25日三大法人買賣金額統計表 單位名稱 買進金額(億元) 賣出金額(億元) 買賣差額(億元) 自營商(自行買賣) 11.93 6.85 +5.08 自營商(避險) 49.06 42.29 +6.77 投 信 13.38 9.77 +3.61 外資及陸資 229.71 170.24 +59.47 =========================================================== 合 計 304.08 229.15 +74.93 法人成交比重38.56% -- 四大基金：勞保、勞退、退撫、郵儲 四大雞精：白蘭氏、統一、桂格、華陀 -- ,5
1178,1453792860711_PTT02R,[其他] 105年01月26日三大法人買賣金額統計表,http://www.twse.com.tw/ch/trading/fund/BFI82U/BFI82U.php 105年01月26日三大法人買賣金額統計表 單位名稱 買進金額(億元) 賣出金額(億元) 買賣差額(億元) 自營商(自行買賣) 9.55 7.09 +2.46 自營商(避險) 34.24 46.70 -12.46 投 信 8.89 7.23 +1.66 外資及陸資 175.68 221.54 -45.86 =========================================================== 合 計 228.36 282.56 -54.19 法人成交比重41.51% -- 紅包行情變白包行情 法說會變成法會 阿彌陀佛～ -- ,5
1232,1453878381392_PTT02R,[其他] 105年01月27日三大法人買賣金額統計表,http://www.twse.com.tw/ch/trading/fund/BFI82U/BFI82U.php 105年01月27日三大法人買賣金額統計表 單位名稱 買進金額(億元) 賣出金額(億元) 買賣差額(億元) 自營商(自行買賣) 10.07 6.60 +3.47 自營商(避險) 47.78 67.56 -19.78 投 信 6.32 9.38 -3.06 外資及陸資 190.66 192.11 -1.46 =========================================================== 合 計 254.82 275.65 -20.83 法人成交比重38.28% -- 持股滿檔待上漲 vs. 持股續抱待解套 ?注文????？ -- ,5
1276,1453963860679_PTT02R,[其他] 105年01月28日三大法人買賣金額統計表,http://www.twse.com.tw/ch/trading/fund/BFI82U/BFI82U.php 105年01月28日三大法人買賣金額統計表 單位名稱 買進金額(億元) 賣出金額(億元) 買賣差額(億元) 自營商(自行買賣) 11.56 9.90 +1.66 自營商(避險) 51.09 47.19 +3.91 投 信 13.81 16.11 -2.30 外資及陸資 285.31 235.27 +50.04 =========================================================== 合 計 361.78 308.47 +53.31 法人成交比重42.54% -- 四大基金：勞保、勞退、退撫、郵儲 四大雞精：白蘭氏、統一、桂格、華陀 -- ,5
1337,1454051717575_PTT02R,[其他] 105年01月29日三大法人買賣金額統計表,http://www.twse.com.tw/ch/trading/fund/BFI82U/BFI82U.php 105年01月29日三大法人買賣金額統計表 單位名稱 買進金額(億元) 賣出金額(億元) 買賣差額(億元) 自營商(自行買賣) 18.55 14.93 +3.62 自營商(避險) 86.25 63.73 +22.51 投 信 18.35 13.85 +4.52 外資及陸資 432.62 318.39 +114.23 =========================================================== 合 計 555.79 410.91 +144.88 法人成交比重43.48% -- 紅包行情變白包行情 法說會變成法會 阿彌陀佛～ -- ,5
1346,1454061213610_PTT02R,[請益] 新手一些問題,105年01月29日三大法人買賣金額統計表 單位名稱 買進金額(億元) 賣出金額(億元) 買賣差額(億元) 自營商(自行買賣) 18.55 14.93 +3.62 自營商(避險) 86.25 63.73 +22.51 投 信 18.35 13.85 +4.52 外資及陸資 432.62 318.39 +114.23 =========================================================== 合 計 555.79 410.91 +144.88 法人成交比重43.48% 2016-01-29 收盤指數 成交量(億) 法人買賣超(億) 法人比% 資金流向% 集中市場 8080.60 949.95 144.88 15.25 店頭市場 122.71 236.59 7.32 3.09 我知道加權指數是集中市場 加起來比重算出來的，但下面的問題 我不太了解， 還請大哥大姊開示 為什麼上下法人比不一樣？櫃買怎麼算的？ 今日成交量1113.90 億 指的是？ 949.95+236.59=1186.54 (為何會不相等?) 我以為今日法人買進555.79 +賣出410.91 +八大+散戶+大戶 會等於1113.9 ， 那法人成交比重43.48怎麼算的？ 第二個問題，以今日台積電為例外資買進49158 賣出29302，所以今日外資買超19856 我以為：今日總量55645= 內盤量13883+外盤量40943=54826 其它的819是跑去哪了？ 買進49158+賣出29302=78460 已經大於總量了 買進跟賣出不是就成交了嗎？ 為什麼會大於總量 ，還是有些是融資融卷的？ 還是 指 買超19856 占總量55645 的一部分，三大法人買超20176，其它的35469是主力 +散戶的買賣超嗎？ 還請版上各位大大指點一二，感恩 -- ,5
