,name,date,price,5MA,1日報酬,2日報酬,3日報酬,4日報酬,5日報酬
59,Y9999 加權指數,2016-04-14,8667.71,8591.011999999999,0.0018065020203233441,0.016003647795498257,0.012276659281829328,0.014776093192062183,0.020901622449279955
60,Y9999 加權指數,2016-04-15,8700.39,8622.789999999999,0.003770315342806842,0.005583628445414223,0.019834301937129345,0.01609326150148486,0.0186021190657378
61,Y9999 加權指數,2016-04-18,8666.01,8643.474,-0.003951546999617167,-0.00019613023509080355,0.0016100174755666026,0.015804378761203015,0.01207812122266745
62,Y9999 加權指數,2016-04-19,8633.72,8663.982,-0.003726051550829144,-0.007662874882620213,-0.003921450994553323,-0.0021220330833742387,0.012019439280380797
63,Y9999 加權指數,2016-04-20,8514.48,8636.462,-0.01381096445101298,-0.01748555563633098,-0.021368007641036767,-0.017678256425284138,-0.015903690210908865
64,Y9999 加權指數,2016-04-21,8568.65,8616.650000000001,0.006362103146639615,-0.007536728084765283,-0.01123469739822601,-0.01514184996304761,-0.011428624169474925
65,Y9999 加權指數,2016-04-22,8535.75,8583.722,-0.003839577996533834,0.0024980973588522655,-0.011347368225978993,-0.015031138897831899,-0.01892328964563651
66,Y9999 加權指數,2016-04-25,8560.28,8562.576,0.0028737955071318462,-0.0009768166513977094,0.0053790718869503595,-0.008506182734672737,-0.012200539810131717
67,Y9999 加權指數,2016-04-26,8581.57,8552.145999999999,0.0024870681800126925,0.0053680110125061894,0.0015078221190035854,0.007879518185491086,-0.006040270011072822
68,Y9999 加權指數,2016-04-27,8563.05,8561.86,-0.0021581132589957824,0.00032358754620159824,0.0031983129777698825,-0.0006535451908994257,0.0057044000338246975
69,Y9999 加權指數,2016-04-28,8473.87,8542.903999999999,-0.010414513520299248,-0.012550151079580883,-0.010094295980972567,-0.007249509416278499,-0.011061252355971926
70,Y9999 加權指數,2016-04-29,8377.9,8511.333999999999,-0.011325403859157758,-0.021621968807842958,-0.023733419409268944,-0.02130537786147194,-0.018492809653516136
71,Y9999 加權指數,2016-05-03,8294.12,8458.102,-0.010000119361653736,-0.021212267830400984,-0.031405865900584314,-0.0334962017439698,-0.03109244090146582
72,Y9999 加權指數,2016-05-04,8185.47,8378.882000000001,-0.013099641673860582,-0.02296876305518082,-0.03403403639659335,-0.044094101984689923,-0.04615705517754903
